rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
2 өрөө,2010,10-р хороолол,16,Байхгүй,Баянгол,Хувь лизингтэй,1 тагттай,44.0,Бүргэд,8,Вакум,2,Паркет
2 өрөө,2014,Бусад,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,46.94,Бүргэд,12,Вакум,2,Паркет
5+ өрөө,2003,13-р хороолол,4,Байгаа,Баянзүрх,Лизинггүй,Тагтгүй,148.35,Бүргэд,1,Вакум,8,Паркет
2 өрөө,2016,100 айл,12,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,38.0,Бүргэд,12,Вакум,3,Паркет
3 өрөө,2014,Алтай хотхон,9,Байгаа,Баянгол,Лизинггүй,1 тагттай,66.83,Бүргэд,2,Вакум,3,Паркет
3 өрөө,1989,11-р хороолол,9,Байхгүй,Сүхбаатар,Лизинггүй,2 тагттай,40.0,Бүргэд,3,Вакум,4,Паркет
3 өрөө,2017,Marshall town,13,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,104.0,Бүргэд,8,Вакум,4,Паркет
2 өрөө,2013,Бусад,5,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,40.0,Бүргэд,3,Вакум,2,Паркет
3 өрөө,2020,Бусад,12,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,76.0,Бүргэд,1,Модон вакум,4,Паркет
2 өрөө,2020,Яармаг,16,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,55.0,Бүргэд,10,Вакум,3,Паркет
2 өрөө,2020,14-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,57.6,Төмөр,10,Вакум,2,Паркет
2 өрөө,2015,River stone,10,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,49.08,Мод,8,Вакум,2,Паркет
3 өрөө,2019,Бусад,14,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,104.0,Бүргэд,12,Вакум,4,Паркет
2 өрөө,2017,Офицер,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,51.2,Бүргэд,11,Вакум,3,Паркет
2 өрөө,2019,16-р хороолол,5,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,44.0,Бүргэд,2,Вакум,3,Паркет
2 өрөө,2019,Баянмонгол хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,54.0,Бүргэд,10,Вакум,3,Паркет
1 өрөө,2013,Москва хороолол,10,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,33.1,Бүргэд,9,Вакум,1,Паркет
3 өрөө,2017,Бусад,17,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,87.0,Бүргэд,10,Вакум,3,Паркет
4 өрөө,2012,Зайсан,4,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,200.0,Бүргэд,3,Вакум,5,Паркет
3 өрөө,1989,Бусад,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,40.0,Төмөр,4,Вакум,4,Паркет
4 өрөө,2016,Бусад,15,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,122.0,Бүргэд,11,Вакум,5,Паркет
3 өрөө,2007,Бусад,9,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,93.0,Төмөр,3,Вакум,4,Паркет
4 өрөө,1999,6-р бичил,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,90.0,Бүргэд,4,Вакум,5,Паркет
2 өрөө,2007,Офицер,5,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,62.0,Бүргэд,1,Вакум,2,Паркет
4 өрөө,2010,Сансар,16,Байгаа,Баянзүрх,Лизинггүй,1 тагттай,106.0,Бүргэд,15,Вакум,5,Паркет
2 өрөө,2010,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,62.3,Бүргэд,11,Вакум,3,Паркет
3 өрөө,2013,Зайсан,6,Байгаа,Хан-Уул,Банкны лизингтэй,1 тагттай,94.0,Төмөр,4,Вакум,4,Паркет
3 өрөө,2010,13-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,94.0,Бүргэд,6,Вакум,4,Паркет
